name,ingredients,ingredientAmounts,steps,notes,tags,glasswareTypes,iceTypes,variationOfId
Mojito,White Rum;Lime Juice;Mint;Simple Syrup;Soda Water,60;30;10;15;90,Muddle mint leaves with lime juice and simple syrup|Add rum and stir|Fill glass with crushed ice|Top with soda water|Garnish with mint sprig and lime wheel,Fresh mint is essential for the best flavor. Don't over-muddle the mint or it will become bitter.,refreshing;summer;classic;rum,Highball;Collins,Crushed;Cubed,
Margarita,Tequila;Triple Sec;Lime Juice,60;30;30,Rim glass with salt|Shake all ingredients with ice|Strain into glass with fresh ice,Use fresh lime juice for best results. Can be served frozen.,classic;citrus;tequila,Margarita;Rocks,Cubed,
Gin and Tonic,Gin;Tonic Water;Lime,60;150;5,Fill glass with ice|Add gin|Top with tonic water|Squeeze lime wedge over drink and drop it in|Stir gently,Premium tonic makes a big difference. Try different gin styles for variety.,refreshing;easy;classic;gin,Highball,Cubed,
Old Fashioned,Whiskey;Simple Syrup;Angostura Bitters,60;10;-3,Add simple syrup and 3 dashes of bitters to glass|Add whiskey and stir|Add large ice cube|Garnish with orange peel,Express orange oils over the drink before garnishing. Use a quality whiskey. Note: -3 means 3 dashes (count-based),classic;spirit-forward;whiskey,Rocks,Large Cube,
Cosmopolitan,Vodka;Triple Sec;Cranberry Juice;Lime Juice,45;15;30;15,Shake all ingredients with ice|Strain into chilled glass|Garnish with lime wheel,Made famous by Sex and the City. Use quality cranberry juice.,citrus;fruity;vodka,Martini,None,
Daiquiri,White Rum;Lime Juice;Simple Syrup,60;25;15,Shake all ingredients with ice|Strain into chilled glass|Garnish with lime wheel,Classic proportions are 8:5:2 (rum:lime:syrup). Adjust to taste.,classic;citrus;rum,Coupe;Martini,None,
Whiskey Sour,Whiskey;Lemon Juice;Simple Syrup,60;30;15,Shake all ingredients with ice|Strain into glass with fresh ice|Garnish with lemon wheel and cherry,Add an egg white for a silkier texture (optional).,classic;citrus;whiskey,Rocks,Cubed,
Mai Tai,White Rum;Dark Rum;Triple Sec;Lime Juice;Simple Syrup,30;30;15;15;10,Shake all ingredients except dark rum with ice|Strain into glass with crushed ice|Float dark rum on top|Garnish with mint and lime,Authentic Mai Tais don't contain pineapple juice!,tropical;rum;complex,Rocks;Tiki,Crushed,
Negroni,Gin;Campari;Sweet Vermouth,30;30;30,Add all ingredients to mixing glass with ice|Stir for 30 seconds|Strain into glass with fresh ice|Garnish with orange peel,Equal parts recipe. Stir don't shake to maintain clarity.,classic;bitter;aperitif,Rocks,Large Cube,
Manhattan,Whiskey;Sweet Vermouth;Angostura Bitters,60;30;-2,Add all ingredients to mixing glass with ice|Stir for 30 seconds|Strain into chilled glass|Garnish with cherry,Use rye whiskey for a spicier profile. Note: -2 means 2 dashes of bitters (count-based),classic;spirit-forward;whiskey,Coupe;Martini,None,
